Motivo,Fuente,Validación,Páginas
Página con redirección,Sitio web,Error,20
Página alternativa con etiqueta canónica adecuada,Sitio web,Error,14
"Excluida por una etiqueta ""noindex""",Sitio web,No iniciada,4
Rastreada: actualmente sin indexar,Sistemas de Google,No iniciada,46
Duplicada: Google ha elegido una versión canónica diferente a la del usuario,Sistemas de Google,Iniciada,12
Error de redirección,Sitio web,N/D,0
Duplicada: el usuario no ha indicado ninguna versión canónica,Sitio web,N/D,0
Descubierta: actualmente sin indexar,Sistemas de Google,Correcto,0
